gene_id	SYMBOL	GENENAME	GENETYPE	SRR10315781_TPM	SRR10315782_TPM
ENSG00000156345	CDK20	cyclin dependent kinase 20	protein-coding	0	0
ENSG00000156374	PCGF6	polycomb group ring finger 6	protein-coding	22.76	21.38
ENSG00000156381	ANKRD9	ankyrin repeat domain 9	protein-coding	10.52	5.57
ENSG00000156384	SFR1	SWI5 dependent homologous recombination repair protein 1	protein-coding	11.34	11.24
ENSG00000156395	SORCS3	sortilin related VPS10 domain containing receptor 3	protein-coding	0	0
ENSG00000156398	SFXN2	sideroflexin 2	protein-coding	5.43	5.41
ENSG00000156411	ATP5MJ	ATP synthase membrane subunit j	protein-coding	110.65	102.99
ENSG00000156413	FUT6	fucosyltransferase 6	protein-coding	0	0
ENSG00000156414	TDRD9	tudor domain containing 9	protein-coding	0.23	0.18
ENSG00000156427	FGF18	fibroblast growth factor 18	protein-coding	0.03	0
ENSG00000156453	PCDH1	protocadherin 1	protein-coding	10.46	11.56
ENSG00000156463	SH3RF2	SH3 domain containing ring finger 2	protein-coding	6.94	6.8
ENSG00000156466	GDF6	growth differentiation factor 6	protein-coding	0	0
ENSG00000156467	UQCRB	ubiquinol-cytochrome c reductase binding protein	protein-coding	204.89	193.96
ENSG00000156469	MTERF3	mitochondrial transcription termination factor 3	protein-coding	24.72	23.4
ENSG00000156471	PTDSS1	phosphatidylserine synthase 1	protein-coding	60.74	56.95
ENSG00000156475	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	protein-coding	0	0
ENSG00000156482	RPL30	ribosomal protein L30	protein-coding	3667.12	3661.27
ENSG00000156486	KCNS2	potassium voltage-gated channel modifier subfamily S member 2	protein-coding	0	0.03
ENSG00000156500	PABIR3	PABIR family member 3	protein-coding	6.67	7.36
ENSG00000156502	SUPV3L1	Suv3 like RNA helicase	protein-coding	17.69	25.35
ENSG00000156504	PABIR2	PABIR family member 2	protein-coding	31.36	33.35
ENSG00000156508	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	protein-coding	8823.34	8814.65
ENSG00000156509	FBXO43	F-box protein 43	protein-coding	3.75	3.9
ENSG00000156510	HKDC1	hexokinase domain containing 1	protein-coding	0.75	0.35
ENSG00000156515	HK1	hexokinase 1	protein-coding	67.72	63.35
ENSG00000156521	TYSND1	trypsin like peroxisomal matrix peptidase 1	protein-coding	9.81	9.1
ENSG00000156531	PHF6	PHD finger protein 6	protein-coding	21.94	21.17
ENSG00000156535	CD109	CD109 molecule	protein-coding	11.63	12.49
ENSG00000156564	LRFN2	leucine rich repeat and fibronectin type III domain containing 2	protein-coding	0	0
ENSG00000156574	NODAL	nodal growth differentiation factor	protein-coding	0.09	0.11
ENSG00000156575	PRG3	proteoglycan 3, pro eosinophil major basic protein 2	protein-coding	0	0
ENSG00000156587	UBE2L6	ubiquitin conjugating enzyme E2 L6	protein-coding	215.67	214.06
ENSG00000156599	ZDHHC5	zinc finger DHHC-type palmitoyltransferase 5	protein-coding	35.73	35.74
ENSG00000156603	MED19	mediator complex subunit 19	protein-coding	43.73	51.14
ENSG00000156639	ZFAND3	zinc finger AN1-type containing 3	protein-coding	47.59	46.44
ENSG00000156642	NPTN	neuroplastin	protein-coding	84.12	80.05
ENSG00000156650	KAT6B	lysine acetyltransferase 6B	protein-coding	4.98	4.51
ENSG00000156671	SAMD8	sterile alpha motif domain containing 8	protein-coding	9.76	10.27
ENSG00000156675	RAB11FIP1	RAB11 family interacting protein 1	protein-coding	5.61	5.02
ENSG00000156687	UNC5D	unc-5 netrin receptor D	protein-coding	0	0
ENSG00000156689	GLYATL2	glycine-N-acyltransferase like 2	protein-coding	0	0
ENSG00000156697	UTP14A	UTP14A small subunit processome component	protein-coding	15.4	14.51
ENSG00000156709	AIFM1	apoptosis inducing factor mitochondria associated 1	protein-coding	37.69	37.59
ENSG00000156711	MAPK13	mitogen-activated protein kinase 13	protein-coding	6.84	6.27
ENSG00000156735	BAG4	BAG cochaperone 4	protein-coding	12.22	11.02
ENSG00000156738	MS4A1	membrane spanning 4-domains A1	protein-coding	0	0
ENSG00000156755	IGKV1OR-2	immunoglobulin kappa variable 1/OR-2 (pseudogene)	pseudo	0	0
ENSG00000156787	TBC1D31	TBC1 domain family member 31	protein-coding	15.39	16.33
ENSG00000156795	NTAQ1	N-terminal glutamine amidase 1	protein-coding	17.41	22.39
ENSG00000156802	ATAD2	ATPase family AAA domain containing 2	protein-coding	30.36	28.44
ENSG00000156804	FBXO32	F-box protein 32	protein-coding	6.23	5.5
ENSG00000156831	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase	protein-coding	52.84	47.1
ENSG00000156853	ZNF689	zinc finger protein 689	protein-coding	6.61	6.85
ENSG00000156858	PRR14	proline rich 14	protein-coding	53.73	51.78
ENSG00000156860	FBRS	fibrosin	protein-coding	36.5	34.43
ENSG00000156869	FRRS1	ferric chelate reductase 1	protein-coding	1.65	1.77
ENSG00000156873	PHKG2	phosphorylase kinase catalytic subunit gamma 2	protein-coding	31.75	31.26
ENSG00000156875	MFSD14A	major facilitator superfamily domain containing 14A	protein-coding	42.22	37.89
ENSG00000156876	SASS6	SAS-6 centriolar assembly protein	protein-coding	9.76	9.15
ENSG00000156885	COX6A2	cytochrome c oxidase subunit 6A2	protein-coding	0	0
ENSG00000156886	ITGAD	integrin subunit alpha D	protein-coding	0	0
ENSG00000156920	ADGRG4	adhesion G protein-coupled receptor G4	protein-coding	0.01	0.02
ENSG00000156925	ZIC3	Zic family member 3	protein-coding	0	0
ENSG00000156928	MALSU1	mitochondrial assembly of ribosomal large subunit 1	protein-coding	96.85	96.89
ENSG00000156931	VPS8	VPS8 subunit of CORVET complex	protein-coding	13.29	10.88
ENSG00000156958	GALK2	galactokinase 2	protein-coding	22.06	22.02
ENSG00000156959	LHFPL4	LHFPL tetraspan subfamily member 4	protein-coding	0.01	0.01
ENSG00000156966	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	protein-coding	0.11	0.09
ENSG00000156968	MPV17L	MPV17 mitochondrial inner membrane protein like	protein-coding	0	0.01
ENSG00000156970	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	protein-coding	63.98	59.29
ENSG00000156973	PDE6D	phosphodiesterase 6D	protein-coding	69.49	72.18
ENSG00000156976	EIF4A2	eukaryotic translation initiation factor 4A2	protein-coding	317.4	297.33
ENSG00000156983	BRPF1	bromodomain and PHD finger containing 1	protein-coding	12.55	12.6
ENSG00000156990	RPUSD3	RNA pseudouridine synthase D3	protein-coding	67.77	68.96
ENSG00000157005	SST	somatostatin	protein-coding	0	0
ENSG00000157014	TATDN2	TatD DNase domain containing 2	protein-coding	18.28	17.23
ENSG00000157017	GHRL	ghrelin and obestatin prepropeptide	protein-coding	0	0
ENSG00000157020	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	protein-coding	135.52	136.38
ENSG00000157021	NA	NA	NA	0.1	0.2
ENSG00000157036	EXOG	exo/endonuclease G	protein-coding	14.03	17.87
ENSG00000157045	NTAN1	N-terminal asparagine amidase	protein-coding	52.85	55.65
ENSG00000157060	SHCBP1L	SHC binding and spindle associated 1 like	protein-coding	0	0
ENSG00000157064	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	protein-coding	0.39	0.4
ENSG00000157077	ZFYVE9	zinc finger FYVE-type containing 9	protein-coding	8.7	8.41
ENSG00000157087	ATP2B2	ATPase plasma membrane Ca2+ transporting 2	protein-coding	0	0
ENSG00000157093	LYZL4	lysozyme like 4	protein-coding	0	0
ENSG00000157103	SLC6A1	solute carrier family 6 member 1	protein-coding	0	0
ENSG00000157106	SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	protein-coding	8.22	7.96
ENSG00000157107	FCHO2	FCH and mu domain containing endocytic adaptor 2	protein-coding	9.2	9.15
ENSG00000157110	RBPMS	RNA binding protein, mRNA processing factor	protein-coding	32.59	33.9
ENSG00000157111	TMEM171	transmembrane protein 171	protein-coding	1.49	2.61
ENSG00000157119	KLHL40	kelch like family member 40	protein-coding	0.05	0
ENSG00000157131	C8A	complement C8 alpha chain	protein-coding	0	0
ENSG00000157150	TIMP4	TIMP metallopeptidase inhibitor 4	protein-coding	1.78	1.58
ENSG00000157152	SYN2	synapsin II	protein-coding	0.08	0.12
ENSG00000157168	NRG1	neuregulin 1	protein-coding	0.72	0.46
ENSG00000157181	ODR4	odr-4 GPCR localization factor homolog	protein-coding	8.37	12.71
ENSG00000157184	CPT2	carnitine palmitoyltransferase 2	protein-coding	16.75	16.88
ENSG00000157191	NECAP2	NECAP endocytosis associated 2	protein-coding	69.21	73.13
ENSG00000157193	LRP8	LDL receptor related protein 8	protein-coding	3.9	4.13
ENSG00000157211	CDCP2	CUB domain containing protein 2	protein-coding	0	0
ENSG00000157212	PAXIP1	PAX interacting protein 1	protein-coding	12.11	11.55
ENSG00000157214	STEAP2	STEAP2 metalloreductase	protein-coding	5.17	5.85
ENSG00000157216	SSBP3	single stranded DNA binding protein 3	protein-coding	18.7	21.94
ENSG00000157219	HTR5A	5-hydroxytryptamine receptor 5A	protein-coding	0	0
ENSG00000157224	CLDN12	claudin 12	protein-coding	20.87	20.77
ENSG00000157227	MMP14	matrix metallopeptidase 14	protein-coding	172.42	166.68
ENSG00000157240	FZD1	frizzled class receptor 1	protein-coding	1.3	1.27
ENSG00000157259	GATAD1	GATA zinc finger domain containing 1	protein-coding	22.13	21.52
ENSG00000157303	SUSD3	sushi domain containing 3	protein-coding	0	0
ENSG00000157306	NA	NA	NA	1.2	1.29
ENSG00000157315	TMED6	transmembrane p24 trafficking protein 6	protein-coding	0.7	1.08
ENSG00000157322	CLEC18A	C-type lectin domain family 18 member A	protein-coding	0.09	0.58
ENSG00000157326	DHRS4	dehydrogenase/reductase 4	protein-coding	54.24	55.04
ENSG00000157330	CFAP107	cilia and flagella associated protein 107	protein-coding	0	0
ENSG00000157335	CLEC18C,CLEC18B,LOC124907799,LOC124907806	C-type lectin domain family 18 member C,C-type lectin domain family 18 member B,C-type lectin domain family 18 member C-like	protein-coding	0.27	0.19
ENSG00000157343	ARMC12	armadillo repeat containing 12	protein-coding	0.81	0.27
ENSG00000157349	DDX19B	DEAD-box helicase 19B	protein-coding	34.49	32.09
ENSG00000157350	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	protein-coding	18.12	18.11
ENSG00000157353	FCSK	fucose kinase	protein-coding	9.55	8.63
ENSG00000157368	IL34	interleukin 34	protein-coding	0.76	0.17
ENSG00000157379	DHRS1	dehydrogenase/reductase 1	protein-coding	50.13	42.38
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	protein-coding	0	0
ENSG00000157399	ARSL	arylsulfatase L	protein-coding	6.58	7.03
ENSG00000157404	KIT	KIT proto-oncogene, receptor tyrosine kinase	protein-coding	0	0
ENSG00000157423	HYDIN	HYDIN axonemal central pair apparatus protein	protein-coding	0	0
ENSG00000157426	AASDH	aminoadipate-semialdehyde dehydrogenase	protein-coding	4.38	3.64
ENSG00000157429	ZNF19,LOC124903710	zinc finger protein 19,uncharacterized LOC124903710	protein-coding,ncRNA	2.38	2.24
ENSG00000157445	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	protein-coding	0	0
ENSG00000157450	RNF111	ring finger protein 111	protein-coding	17.16	17.39
ENSG00000157456	CCNB2	cyclin B2	protein-coding	170.52	172.44
ENSG00000157470	FAM81A	family with sequence similarity 81 member A	protein-coding	0.82	0.02
ENSG00000157483	MYO1E	myosin IE	protein-coding	25.5	25.31
ENSG00000157500	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	protein-coding	18.43	17.76
ENSG00000157502	PWWP3B	PWWP domain containing 3B	protein-coding	0	0
ENSG00000157510	AFAP1L1	actin filament associated protein 1 like 1	protein-coding	7.87	8.01
ENSG00000157514	TSC22D3	TSC22 domain family member 3	protein-coding	18.03	14.24
ENSG00000157538	VPS26C	VPS26 endosomal protein sorting factor C	protein-coding	37.12	33.23
ENSG00000157540	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	protein-coding	13.5	12.99
ENSG00000157542	KCNJ6	potassium inwardly rectifying channel subfamily J member 6	protein-coding	0.16	0.02
ENSG00000157551	KCNJ15	potassium inwardly rectifying channel subfamily J member 15	protein-coding	0.33	0.12
ENSG00000157554	ERG	ETS transcription factor ERG	protein-coding	23.56	25.62
ENSG00000157557	ETS2	ETS proto-oncogene 2, transcription factor	protein-coding	37.45	35.74
ENSG00000157570	TSPAN18	tetraspanin 18	protein-coding	1.22	0.48
ENSG00000157578	LCA5L	lebercilin LCA5 like	protein-coding	0.29	0.47
ENSG00000157593	SLC35B2	solute carrier family 35 member B2	protein-coding	68.72	70.67
ENSG00000157600	TMEM164	transmembrane protein 164	protein-coding	12.16	17.33
ENSG00000157601	MX1	MX dynamin like GTPase 1	protein-coding	736.39	733.56
ENSG00000157613	CREB3L1	cAMP responsive element binding protein 3 like 1	protein-coding	34.66	32.53
ENSG00000157617	C2CD2	C2 calcium dependent domain containing 2	protein-coding	14.04	8.85
ENSG00000157625	TAB3	TGF-beta activated kinase 1 (MAP3K7) binding protein 3	protein-coding	6.2	5.75
ENSG00000157637	SLC38A10	solute carrier family 38 member 10	protein-coding	46.72	48.93
ENSG00000157653	C9orf43	chromosome 9 open reading frame 43	protein-coding	0.76	0.24
ENSG00000157654	PALM2AKAP2	PALM2 and AKAP2 fusion	protein-coding	45.17	44.81
ENSG00000157657	ZNF618	zinc finger protein 618	protein-coding	4.2	3.28
ENSG00000157680	DGKI	diacylglycerol kinase iota	protein-coding	0.26	0
ENSG00000157693	TMEM268	transmembrane protein 268	protein-coding	5.32	5.96
ENSG00000157703	SVOPL	SVOP like	protein-coding	0	0
ENSG00000157734	SNX22	sorting nexin 22	protein-coding	0.63	0.5
ENSG00000157741	UBN2	ubinuclein 2	protein-coding	1.62	1.81
ENSG00000157764	BRAF	B-Raf proto-oncogene, serine/threonine kinase	protein-coding	6.39	7.1
ENSG00000157765	SLC34A2	solute carrier family 34 member 2	protein-coding	0	0
ENSG00000157766	ACAN	aggrecan	protein-coding	0	0
ENSG00000157778	PSMG3	proteasome assembly chaperone 3	protein-coding	50.66	51.82
ENSG00000157782	CABP1	calcium binding protein 1	protein-coding	0	0
ENSG00000157796	WDR19	WD repeat domain 19	protein-coding	8.14	12.19
ENSG00000157800	SLC37A3	solute carrier family 37 member 3	protein-coding	29.19	26.45
ENSG00000157823	AP3S2	adaptor related protein complex 3 subunit sigma 2	protein-coding	19.39	19.13
ENSG00000157827	FMNL2	formin like 2	protein-coding	12.61	12.15
ENSG00000157833	GAREM2	GRB2 associated regulator of MAPK1 subtype 2	protein-coding	3.68	4.14
ENSG00000157837	SPPL3	signal peptide peptidase like 3	protein-coding	28.37	36.56
ENSG00000157851	DPYSL5	dihydropyrimidinase like 5	protein-coding	0.02	0
ENSG00000157856	DRC1	dynein regulatory complex subunit 1	protein-coding	0.03	0
ENSG00000157869	RAB28	RAB28, member RAS oncogene family	protein-coding	9.55	8.85
ENSG00000157870	PRXL2B	peroxiredoxin like 2B	protein-coding	20.65	20.61
ENSG00000157873	TNFRSF14	TNF receptor superfamily member 14	protein-coding	21.57	16.55
ENSG00000157881	PANK4	pantothenate kinase 4 (inactive)	protein-coding	24.93	27.94
ENSG00000157884	CIB4	calcium and integrin binding family member 4	protein-coding	0	0
ENSG00000157890	MEGF11	multiple EGF like domains 11	protein-coding	0.43	0.03
ENSG00000157895	C12orf43	chromosome 12 open reading frame 43	protein-coding	15.48	18.51
ENSG00000157911	PEX10	peroxisomal biogenesis factor 10	protein-coding	16.85	18.08
ENSG00000157916	RER1	retention in endoplasmic reticulum sorting receptor 1	protein-coding	113.84	120.31
ENSG00000157927	RADIL	Rap associating with DIL domain	protein-coding	0.23	0.03
ENSG00000157933	SKI	SKI proto-oncogene	protein-coding	18.41	16.65
ENSG00000157954	WIPI2	WD repeat domain, phosphoinositide interacting 2	protein-coding	77.05	79.9
ENSG00000157965	NA	NA	NA	0	0
ENSG00000157978	LDLRAP1	low density lipoprotein receptor adaptor protein 1	protein-coding	20.26	18.88
ENSG00000157985	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	protein-coding	4.09	4.52
ENSG00000157992	KRTCAP3	keratinocyte associated protein 3	protein-coding	1	3.17
ENSG00000157999	ANKRD61	ankyrin repeat domain 61	protein-coding	0.21	0.16
ENSG00000158006	PAFAH2	platelet activating factor acetylhydrolase 2	protein-coding	3.66	4.54
ENSG00000158008	EXTL1	exostosin like glycosyltransferase 1	protein-coding	0	0
ENSG00000158014	SLC30A2	solute carrier family 30 member 2	protein-coding	0	0
ENSG00000158019	BABAM2	BRISC and BRCA1 A complex member 2	protein-coding	43.34	36.42
ENSG00000158022	TRIM63	tripartite motif containing 63	protein-coding	0	0
ENSG00000158023	CFAP251	cilia and flagella associated protein 251	protein-coding	0.64	1.08
ENSG00000158042	MRPL17	mitochondrial ribosomal protein L17	protein-coding	82.52	84.66
ENSG00000158050	DUSP2	dual specificity phosphatase 2	protein-coding	0.08	0.13
ENSG00000158055	GRHL3	grainyhead like transcription factor 3	protein-coding	0.33	0.3
ENSG00000158062	UBXN11	UBX domain protein 11	protein-coding	16.98	17.21
ENSG00000158077	NLRP14	NLR family pyrin domain containing 14	protein-coding	0	0
ENSG00000158079	PTPDC1	protein tyrosine phosphatase domain containing 1	protein-coding	4.74	4.96
ENSG00000158089	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	protein-coding	0	0
ENSG00000158092	NCK1	NCK adaptor protein 1	protein-coding	20.57	23.43
ENSG00000158104	HPD	4-hydroxyphenylpyruvate dioxygenase	protein-coding	0.05	0
ENSG00000158106	RHPN1	rhophilin Rho GTPase binding protein 1	protein-coding	3.07	3
ENSG00000158109	TPRG1L	tumor protein p63 regulated 1 like	protein-coding	18.84	20.27
ENSG00000158113	LRRC43	leucine rich repeat containing 43	protein-coding	0.52	0.59
ENSG00000158122	PRXL2C	peroxiredoxin like 2C	protein-coding	11.08	12.08
ENSG00000158125	XDH	xanthine dehydrogenase	protein-coding	0.12	0.21
ENSG00000158156	XKR8	XK related 8	protein-coding	11.26	11.85
ENSG00000158158	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	protein-coding	5.7	5.42
ENSG00000158161	EYA3	EYA transcriptional coactivator and phosphatase 3	protein-coding	8.2	9.26
ENSG00000158163	DZIP1L	DAZ interacting zinc finger protein 1 like	protein-coding	9.02	7.86
ENSG00000158164	TMSB15A	thymosin beta 15A	protein-coding	0	0
ENSG00000158169	FANCC,LOC105376156	FA complementation group C,uncharacterized LOC105376156	protein-coding,ncRNA	8.08	8.91
ENSG00000158186	MRAS	muscle RAS oncogene homolog	protein-coding	1.84	0.89
ENSG00000158195	WASF2	WASP family member 2	protein-coding	55.66	55.31
ENSG00000158201	ABHD3	abhydrolase domain containing 3, phospholipase	protein-coding	20.82	21.04
ENSG00000158220	ESYT3	extended synaptotagmin 3	protein-coding	0.23	0.07
ENSG00000158234	FAIM	Fas apoptotic inhibitory molecule	protein-coding	13.41	13.42
ENSG00000158246	TENT5B	terminal nucleotidyltransferase 5B	protein-coding	16.17	15.3
ENSG00000158258	CLSTN2	calsyntenin 2	protein-coding	0.01	0
ENSG00000158270	COLEC12	collectin subfamily member 12	protein-coding	0.04	0.07
ENSG00000158286	RNF207	ring finger protein 207	protein-coding	13.47	15.44
ENSG00000158290	CUL4B	cullin 4B	protein-coding	47.14	49.84
ENSG00000158292	GPR153	G protein-coupled receptor 153	protein-coding	1.3	1.36
ENSG00000158296	SLC13A3	solute carrier family 13 member 3	protein-coding	0	0.04
ENSG00000158301	GPRASP2,ARMCX5-GPRASP2	G protein-coupled receptor associated sorting protein 2,ARMCX5-GPRASP2 readthrough	protein-coding	7.25	6.74
ENSG00000158315	RHBDL2	rhomboid like 2	protein-coding	5.59	4.53
ENSG00000158321	AUTS2	activator of transcription and developmental regulator AUTS2	protein-coding	0	0
ENSG00000158352	SHROOM4	shroom family member 4	protein-coding	0.55	0.55
ENSG00000158373	H2BC5	H2B clustered histone 5	protein-coding	12.69	9.96
ENSG00000158402	CDC25C	cell division cycle 25C	protein-coding	34.16	35.92
ENSG00000158406	H4C8,H4C15	H4 clustered histone 8,H4 clustered histone 15	protein-coding	2.6	1.07
ENSG00000158411	MITD1	microtubule interacting and trafficking domain containing 1	protein-coding	60.61	64.12
ENSG00000158417	EIF5B	eukaryotic translation initiation factor 5B	protein-coding	47.49	43.66
ENSG00000158423	RIBC1	RIB43A domain with coiled-coils 1	protein-coding	1.76	1.63
ENSG00000158427	TMSB15B	thymosin beta 15B	protein-coding	1.38	1.52
ENSG00000158428	CATIP	ciliogenesis associated TTC17 interacting protein	protein-coding	0.06	0
ENSG00000158435	CNOT11	CCR4-NOT transcription complex subunit 11	protein-coding	31.85	29.68
ENSG00000158445	KCNB1	potassium voltage-gated channel subfamily B member 1	protein-coding	0.06	0.05
ENSG00000158457	TSPAN33	tetraspanin 33	protein-coding	1.82	1.31
ENSG00000158458	NRG2	neuregulin 2	protein-coding	0.59	0.8
ENSG00000158467	AHCYL2	adenosylhomocysteinase like 2	protein-coding	6.83	6.29
ENSG00000158470	B4GALT5	beta-1,4-galactosyltransferase 5	protein-coding	33.84	33.47
ENSG00000158473	CD1D	CD1d molecule	protein-coding	0	0
ENSG00000158477	CD1A	CD1a molecule	protein-coding	0	0
ENSG00000158480	SPATA2	spermatogenesis associated 2	protein-coding	5.22	4.74
ENSG00000158481	CD1C	CD1c molecule	protein-coding	0	0
ENSG00000158482	NA	NA	NA	0	0
ENSG00000158483	FAM86C1P	family with sequence similarity 86 member C1, pseudogene	unknown	0	0
ENSG00000158485	CD1B	CD1b molecule	protein-coding	0	0
ENSG00000158486	DNAH3	dynein axonemal heavy chain 3	protein-coding	0	0
ENSG00000158488	CD1E	CD1e molecule	protein-coding	0	0
ENSG00000158497	HMHB1	histocompatibility minor HB-1	protein-coding	0	0
ENSG00000158516	CPA2	carboxypeptidase A2	protein-coding	0	0
ENSG00000158517	NCF1	neutrophil cytosolic factor 1	protein-coding	0	0.06
ENSG00000158525	CPA5	carboxypeptidase A5	protein-coding	0.63	0.1
ENSG00000158526	TSR2	TSR2 ribosome maturation factor	protein-coding	15.31	14.96
ENSG00000158528	PPP1R9A	protein phosphatase 1 regulatory subunit 9A	protein-coding	0.4	0.26
ENSG00000158545	ZC3H18	zinc finger CCCH-type containing 18	protein-coding	41.75	42.13
ENSG00000158552	ZFAND2B	zinc finger AN1-type containing 2B	protein-coding	34.12	38.72
ENSG00000158553	POM121L2	POM121 transmembrane nucleoporin like 2	protein-coding	0	0
ENSG00000158555	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding	13.18	11.99
ENSG00000158560	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	protein-coding	0	0
ENSG00000158571	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	protein-coding	0.23	0
ENSG00000158578	ALAS2	5'-aminolevulinate synthase 2	protein-coding	0	0
ENSG00000158604	TMED4	transmembrane p24 trafficking protein 4	protein-coding	79.62	75.53
ENSG00000158615	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	protein-coding	14.16	15.08
ENSG00000158623	COPG2	COPI coat complex subunit gamma 2	protein-coding	17.08	16.36
ENSG00000158636	EMSY	EMSY transcriptional repressor, BRCA2 interacting	protein-coding	12.54	12.56
ENSG00000158639	PAGE5	PAGE family member 5	protein-coding	0	0
ENSG00000158669	GPAT4	glycerol-3-phosphate acyltransferase 4	protein-coding	45.5	46.55
ENSG00000158683	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	protein-coding	0.11	0.04
ENSG00000158691	ZSCAN12	zinc finger and SCAN domain containing 12	protein-coding	3.82	3.88
ENSG00000158710	TAGLN2	transgelin 2	protein-coding	727	747.88
ENSG00000158711	ELK4	ETS transcription factor ELK4	protein-coding	7.97	7.61
ENSG00000158714	SLAMF8	SLAM family member 8	protein-coding	0	0.17
ENSG00000158715	SLC45A3	solute carrier family 45 member 3	protein-coding	7.42	6.73
ENSG00000158716	DUSP23	dual specificity phosphatase 23	protein-coding	40.11	42.34
ENSG00000158717	RNF166	ring finger protein 166	protein-coding	34.14	33.18
ENSG00000158731	OR10J6P	olfactory receptor family 10 subfamily J member 6 pseudogene	pseudo	0	0
ENSG00000158747	NBL1,MICOS10-NBL1	NBL1, DAN family BMP antagonist,MICOS10-NBL1 readthrough	protein-coding	46.7	47.11
ENSG00000158748	HTR6	5-hydroxytryptamine receptor 6	protein-coding	0.02	0.03
ENSG00000158764	ITLN2	intelectin 2	protein-coding	0	0
ENSG00000158769	F11R	F11 receptor	protein-coding	25.35	23.13
ENSG00000158773	USF1	upstream transcription factor 1	protein-coding	64.21	66.73
ENSG00000158786	PLA2G2F	phospholipase A2 group IIF	protein-coding	0	0
ENSG00000158792	SPATA2L	spermatogenesis associated 2 like	protein-coding	6.69	7.62
ENSG00000158793	NIT1	nitrilase 1	protein-coding	45.35	48.65
ENSG00000158796	DEDD	death effector domain containing	protein-coding	42.18	41.07
ENSG00000158805	ZNF276	zinc finger protein 276	protein-coding	9.58	8.64
ENSG00000158806	NPM2	nucleophosmin/nucleoplasmin 2	protein-coding	0	0.09
ENSG00000158813	EDA	ectodysplasin A	protein-coding	0.23	0
ENSG00000158815	FGF17	fibroblast growth factor 17	protein-coding	0.21	0.04
ENSG00000158816	VWA5B1	von Willebrand factor A domain containing 5B1	protein-coding	0	0
ENSG00000158825	CDA	cytidine deaminase	protein-coding	35.44	32.66
ENSG00000158828	PINK1	PTEN induced kinase 1	protein-coding	52.68	50.42
ENSG00000158850	B4GALT3	beta-1,4-galactosyltransferase 3	protein-coding	36.95	40.57
ENSG00000158856	DMTN	dematin actin binding protein	protein-coding	2.81	2.84
ENSG00000158859	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	protein-coding	0.02	0.01
ENSG00000158863	FHIP2B	FHF complex subunit HOOK interacting protein 2B	protein-coding	26.01	28.89
ENSG00000158864	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	protein-coding	137.9	138.58
ENSG00000158865	SLC5A11	solute carrier family 5 member 11	protein-coding	0	0
ENSG00000158869	FCER1G	Fc epsilon receptor Ig	protein-coding	2.07	1.04
ENSG00000158874	APOA2	apolipoprotein A2	protein-coding	0	0
ENSG00000158882	TOMM40L	translocase of outer mitochondrial membrane 40 like	protein-coding	8.93	10.21
ENSG00000158887	MPZ	myelin protein zero	protein-coding	4.82	5.37
ENSG00000158901	WFDC8	WAP four-disulfide core domain 8	protein-coding	0	0
ENSG00000158941	CCAR2	cell cycle and apoptosis regulator 2	protein-coding	88.82	69.95
ENSG00000158955	WNT9B	Wnt family member 9B	protein-coding	0	0
ENSG00000158966	CACHD1	cache domain containing 1	protein-coding	0.48	0.51
ENSG00000158985	CDC42SE2	CDC42 small effector 2	protein-coding	17.61	17.02
ENSG00000158987	RAPGEF6	Rap guanine nucleotide exchange factor 6	protein-coding	4.47	3.87
ENSG00000159023	EPB41	erythrocyte membrane protein band 4.1	protein-coding	9.46	8.53
ENSG00000159055	MIS18A	MIS18 kinetochore protein A	protein-coding	30.83	31.3
ENSG00000159063	ALG8	ALG8 alpha-1,3-glucosyltransferase	protein-coding	35.65	34.65
ENSG00000159069	FBXW5	F-box and WD repeat domain containing 5	protein-coding	47.21	50.73
ENSG00000159079	CFAP298	cilia and flagella associated protein 298	protein-coding	34.47	32
ENSG00000159082	SYNJ1	synaptojanin 1	protein-coding	8.57	9.11
